endTime,trackName,msPlayed,artistId
2023-09-16 04:28,Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz],239213,4tZwfgrHOc3mvqYlEYSvVi
2023-09-16 17:42,Before I Lose My Mind,156553,4mncDFjVLUa3s025Tct3Ry
2023-09-16 17:45,Pushing On,11315,38Z7dMMVB0YYbKn4fDYNz3
2023-09-16 17:45,On You,197400,41Ue54Vb6iWx2dcdRCM6oH
2023-09-16 17:49,EYES,212853,1Dt1UKLtrJIW1xxRBejjos
2023-09-16 17:52,You’re Not Alone,169041,4lu50np3LdTkRL09T7x8UP
2023-09-16 17:55,Leave Your Light On,195967,4mncDFjVLUa3s025Tct3Ry
2023-09-16 17:58,I Love You,158086,7hp5hDp0WIQHip75gbNc8v
2023-09-16 19:02,Love Song (feat. Glasses),170868,41Ue54Vb6iWx2dcdRCM6oH
2023-09-16 19:03,En Su Lugar,75386,5GcgHApquo93JDlpKJ5lu0
2023-09-16 19:06,GTA.mp3,26406,0AqlFI0tz2DsEoJlKSIiT9
2023-09-16 19:06,LALA,1365,7iK8PXO48WeuP03g8YR51W
2023-09-16 19:06,Columbia,186000,52iwsT98xCoGgiGntTiR7K
2023-09-16 19:06,CORAZÓN VACÍO,1322,1DxLCyH42yaHKGK3cl5bvG
2023-09-16 19:06,OJITOS ROJOS,1813,6XkjpgcEsYab502Vr1bBeW
2023-09-16 19:07,El Amor de Mi Vida,1343,0ZCO8oVkMj897cKgFH7fRW
2023-09-16 19:07,Los del Espacio,1514,1vqR17Iv8VFdzure1TAXEq
2023-09-16 19:07,Un Finde | CROSSOVER #2,1258,2OhUNb01gLwygOizYvTm0e
2023-09-16 19:07,Mentiras | CROSSOVER #3,1514,2OhUNb01gLwygOizYvTm0e
2023-09-16 19:09,Holanda,130965,6nVcHLIgY5pE2YCl8ubca1
2023-09-16 19:09,Chulo pt.2,1920,4F4pp8NUW08JuXwnoxglpN
2023-09-16 19:12,Chulo pt.2,219333,4F4pp8NUW08JuXwnoxglpN
2023-09-16 19:59,No_se_ve.mp3,1088,0AqlFI0tz2DsEoJlKSIiT9
2023-09-16 19:59,Ya No Vuelvas (Versión Cuarteto),1514,4kcQWQDK0u9AftVSpdrAgk
2023-09-16 19:59,FLECHAZO EN EL CENTRO,682,2qWK8K2Jfh67UqtwY8tCW6
2023-09-16 19:59,ADIÓS,3072,1DxLCyH42yaHKGK3cl5bvG
2023-09-16 20:02,CLASSY 101,195986,2LRoIwlKmHjgvigdNGBHNo
2023-09-16 20:05,DISCOTEKA (feat. Locura Mix),166798,4oZolC0sCwCAKqsNXfRlVS
2023-09-16 20:06,DISPARA ***,1343,2UZIAOlrnyZmyzt1nuXr9y
2023-09-16 20:06,QLONA,46271,790FomKkXshlbRYZFtlgla
2023-09-16 20:06,En La Intimidad | CROSSOVER #1,2240,2OhUNb01gLwygOizYvTm0e
2023-09-16 20:06,ATORRANTE - con Los Palmeras,3626,2BTS8Np1YzPQuXjgdlqsBB
2023-09-16 20:09,MI EX TENÍA RAZÓN,0,790FomKkXshlbRYZFtlgla
2023-09-16 20:09,Pobre Corazón - En Vivo,2880,06Q5VlSAku57lFzyME3HrM
2023-09-16 20:09,Luck Ra | Mission 15,1237,6oMRQ5H3A2XA5I3RG3leni
2023-09-16 20:09,Me Enteré,1471,5Y3MV9DZ0d87NnVm56qSY1
2023-09-16 20:12,Una Foto,1216,2IKdK6PbitvCiXt1t2bPU6
2023-09-16 20:12,8 AM,2368,2UZIAOlrnyZmyzt1nuXr9y
2023-09-16 20:12,BM | Mission 18,157055,6oMRQ5H3A2XA5I3RG3leni
2023-09-16 20:12,Dale Mecha,1749,2IKdK6PbitvCiXt1t2bPU6
2023-09-16 20:12,Frágil,6570,51ZSh80McCt7vbqHouzW0A
2023-09-16 20:12,La Bebe - Remix,1813,1NNRWkhwmcXRimFYSBpB1y
2023-09-16 20:14,Cabaña,117909,1fIJZfSmqQkuqfKNRmrS1V
2023-09-16 20:15,BM | DJ TAO Turreo Sessions #17,48981,5CA5IqbsFr4hpNLdjgO0BU
2023-09-16 22:48,Otro Día Más,77717,06Q5VlSAku57lFzyME3HrM
2023-09-16 22:52,You Will See,143374,2h6hAChW74hB9HvrNoK1RY
2023-09-16 22:55,In My Mind,198454,1dA7pt23MNLlDsLpABATtG
2023-09-16 22:59,Once Again,204094,6EDKZ3fyIzcualNVjPayM4
2023-09-16 23:05,Horny - YouNotUs Club Version,180878,5N6EzjkOoyABhNZJggeXi6
2023-09-16 23:13,Papi Chulo,143040,4DPCpJ3C1nIqEFVs37tiOJ
2023-09-16 23:16,Break Me,204875,6EDKZ3fyIzcualNVjPayM4
2023-09-16 23:20,WEPA,204651,1MOT23Q8M3ijxPZBDCXrAM
2023-09-16 23:23,Mirame,154960,1IuPlUe8Ty0TmMq57kVG7G
2023-09-16 23:25,Respect,137812,3gOl0pzEP8SvToQrrrbw7P
2023-09-16 23:28,Dingdading,175238,0ZwQMCRqfyh1OGQkBh9Cnj
2023-09-16 23:31,To The Floor,181877,4Nl6PVYLwbCFfr3UqQlFtE
2023-09-16 23:33,Push It (feat. Lena Leon),129159,6DDphNWazbGLtmw2ARnqMp
2023-09-16 23:36,Easy Tiger,206456,7LJSAfWhO7jhjnewy6pKyZ
2023-09-16 23:40,Paparazzi,188160,5geAjOsxhftVd39yemf4r8
2023-09-16 23:46,Number 1,145200,43BxCL6t4c73BQnIJtry5v
2023-09-16 23:49,Your Mind Is Dirty,198799,0w1sbtZVQoK6GzV4A4OkCv
